src,dst,weight
0,0,105.56400000000001
1,11373,26.53
1,11376,74.605
2,16201,4.894
2,18692,18.206
3,18691,12.217
3,71268,5.259
3,21202,6.267
4,2,205.281
5,14192,28.574
5,48026,11.504
5,48035,6.028
6,71270,10.359
6,18691,38.156
7,67544,316.705
7,14,812.878
8,11380,30.689
8,524,41.82899999999999
9,14459,50.138
9,14461,51.446999999999996
9,48765,51.003
10,63888,83.491
11,14909,141.166
12,14909,380.445
13,63433,34.083
13,661,81.898
13,21287,3.926
14,23734,9.451
14,338,455.397
14,13275,139.586
15,11372,23.671
15,40055,31.695
15,12,130.142
16,67812,216.197
16,754,315.052
17,23733,37.673
17,23732,69.205
18,161,68.679
19,753,392.311
20,13962,243.20499999999998
20,11136,443.529
21,33415,12.064
21,20,51.88
21,33402,8.203
21,804,48.534
22,804,15.624
22,33417,31.86
22,19,51.88
22,53903,64.60300000000001
23,11351,185.487
23,61,48.122
23,60,104.583
24,23,32.659
24,23,43.316
24,53587,63.516
25,24,37.986
25,22,32.659
25,22,43.316
26,636,47.7
26,23092,63.677
26,23,37.986
27,23092,5.594
27,23101,23.081
27,48690,159.689
28,167,60.414
29,490,87.053
29,54401,5.238
29,11330,229.048
30,29,304.528
30,72209,9.208
30,72208,23.409
30,538,97.63
31,67273,69.5
31,28,304.528
31,654,106.214
32,67273,8.04
32,42452,61.91
32,107,254.575
33,32,112.027
33,48171,218.14
33,72121,53.809
34,72128,92.53
34,31,112.027
34,48189,199.448
35,48182,130.422
35,72128,9.146
35,678,189.811
35,72129,6.451
36,60947,6.428
36,48182,6.98
36,48183,9.296
36,70836,115.721
37,60947,209.07
37,22509,113.363
37,659,62.079
37,70842,217.602
38,70842,7.579
38,38734,34.26
38,70844,91.672
39,174,54.406
40,11345,86.952
40,237,57.455
40,65122,227.911
41,40,51.998000000000005
41,11345,169.501
41,11345,152.84199999999998
42,39,51.998
42,65124,75.53099999999999
42,435,174.272
43,42,83.212
43,260,77.727
43,554,279.572
44,43,120.286
44,41,83.212
44,389,140.996
45,42,120.286
45,425,284.494
45,68257,40.748999999999995
46,45,132.079
47,573,51.024
47,44,132.079
47,14512,175.35199999999998
48,47,120.937
48,630,108.285
48,34908,133.322
49,48,117.09
49,46,120.937
49,755,101.082
49,68155,112.956
50,47,117.09
50,562,241.481
50,561,100.3
51,50,57.695
52,51,49.293000000000006
52,49,57.695
52,51117,299.43999999999994
53,50,49.293000000000006
54,59843,45.977
54,740,147.353
54,53,170.673
55,54,99.512
55,117,102.411
55,52,170.673
56,55,77.0
56,53,99.512
56,105,315.451
57,54,77.0
57,106,293.04
57,56,96.74199999999999
58,39038,56.892
58,395,107.249
58,394,105.462
58,55,96.74199999999999
59,39038,66.223
59,42458,53.637
59,639,106.925
60,59,99.572
61,60,253.403
61,58,99.572
61,552,143.256
62,59,253.403
62,11349,204.199
62,455,133.061
62,21,104.583
63,21,48.122
64,22543,199.935
64,20627,32.331
65,34884,15.57
65,22030,107.223
65,192,140.78799999999998
66,71585,37.138
66,48633,106.318
66,71607,7.137
67,71580,18.98
67,71575,28.35
67,66,82.712
68,65196,26.492
68,65,82.712
69,73055,7.086
69,61032,186.829
69,73035,471.18600000000004
70,69,14.372
70,61032,7.91
70,61034,5.784
71,68,14.372
71,14701,392.70800000000014
71,54045,96.70700000000001
72,14696,2.258
72,61040,5.526
73,13382,11.384
73,23096,9.014
73,23099,9.965
73,14694,68.188
74,467,113.505
74,803,261.827
74,11076,250.93
75,13605,295.057
75,69271,6.097
75,69279,6.717
76,13605,11.964
76,13603,10.715
76,69280,91.977
76,75276,57.73500000000001
77,33208,116.281
77,474,66.459
77,63499,65.553
78,33208,41.53
79,13358,14.752
79,729,110.702
80,13358,216.68699999999998
80,66340,276.26
80,817,113.476
81,43519,68.3
81,43501,34.05
81,43504,11.822
82,59999,17.372
82,43519,13.734
82,43523,22.907
83,82,193.081
83,59999,147.31799999999998
83,368,194.98900000000003
84,359,244.323
84,83,76.577
84,81,193.081
85,84,43.962
85,82,76.577
85,14512,30.704
86,85,111.33
86,83,43.962
86,270,58.382999999999996
86,14512,52.8
86,360,279.94899999999996
87,270,90.783
87,86,128.333
87,84,111.33
88,87,160.853
88,85,128.333
88,14514,52.905
89,86,160.853
89,11375,154.375
89,793,503.44300000000004
89,271,127.51999999999998
90,40051,38.771
90,40043,22.048
90,40053,35.397
90,40039,18.993
91,40039,24.289
91,66396,9.895
91,40073,17.9
92,512,176.41
92,511,125.953
92,91,119.589
92,58341,115.152
93,40858,139.136
93,90,119.589
94,60958,78.876
95,60958,5.924
95,28388,9.599
95,28385,14.833
96,60055,10.687
96,60056,10.843
96,41563,82.662
96,60057,7.313
97,60055,214.115
97,516,127.923
97,60012,8.265
98,97,51.253
98,62005,6.06
98,62014,181.827
98,62000,5.927
99,96,51.253
100,74423,1.85
100,602,127.434
100,601,189.845
101,100,79.991
101,492,56.327
101,491,129.353
102,99,79.991
102,73944,27.095
103,39962,47.581
104,60934,8.306
104,63711,6.093
104,60936,7.405
105,33075,37.773
105,108,15.014
105,33072,48.745
105,104,162.32
106,119,123.695
106,110,14.412
106,105,96.016
106,103,162.32
107,58202,64.788
107,54,315.451
107,106,78.847
107,104,96.016
108,436,75.463
108,55,293.04
108,105,78.847
108,65754,166.012
109,534,89.67
109,396,47.539
109,65752,37.026
109,30,254.575
110,109,64.304
110,33093,68.133
110,103,15.014
110,566,94.756
111,110,96.8
111,108,64.304
111,567,73.686
112,109,96.8
112,104,14.412
112,118,85.956
113,69268,3.875
113,11355,304.241
114,345,39.677
114,113,92.165
114,261,311.924
115,114,38.14
115,112,92.16499999999999
115,20432,357.55600000000004
116,633,80.177
116,14351,56.288000000000004
116,113,38.14
117,116,374.866
117,707,144.969
117,557,85.797
118,115,374.866
118,20337,15.898
119,118,158.719
119,53,102.411
119,739,95.851
120,110,85.956
120,117,158.719
120,568,93.908
121,104,123.695
121,39524,15.746
121,33034,76.886
122,121,56.637
122,722,294.726
122,551,115.543
122,253,138.915
123,122,93.081
123,120,56.637
123,220,105.112
