0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
@type,@id,@lat,@lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,building,building:levels,buliding:use,denomination,historic,landuse,leisure,tourism,amenity,sport,area
way,27146776,36.1790269,-115.1311788,,,,,,yes,,,,,,,,theatre,,2.3265238269232213e-07
way,27523839,36.1450510,-115.3052423,,,9600,89117,West Sahara Avenue,museum,2,,,,,,museum,,,6.170748747535981e-07
way,27550235,36.1722347,-115.1966060,,,,,,yes,,,,,,,,,,4.644558430300094e-06
way,27613592,36.2007641,-115.3337719,,,,,,retail,,,,,,,,,,2.2607673599850386e-07
way,27613838,36.1885119,-115.3066744,,,,,,yes,,,,,,,,,,2.5172039386234246e-07
way,27620982,36.1861445,-115.2848527,Las Vegas,,1400,89128,North Rampart Boulevard,commercial,,,,,,,,,,5.665742719429545e-07
way,27631489,36.2015238,-115.2530087,,,,,,school,,,,,,,,school,,2.2995805011305492e-06
way,27960102,36.1544932,-115.2371410,,,,,,yes,,,,,,,,,,2.9894949875597376e-06
way,33967431,36.1715878,-115.1471353,Las Vegas,,1,89101,Main Street,yes,,,,,,,hotel,,,1.266405433852924e-06
way,34000107,36.1718583,-115.1468695,,,,,,yes,,,,,,,,,,1.4508714230032638e-07
way,35822885,40.2390461,-3.5124216,,,,,,yes,,,,,,,,,,
way,36331817,40.0418699,-3.5537795,,,,,,yes,,,,,,,,,,1.0781348436239568e-06
way,36510100,40.1212837,-3.5410725,,,,,,yes,,,,,,,,,,
way,36902867,40.1217038,-3.5296576,,,,,,yes,,,,,,,,,,
way,36902869,40.1212541,-3.5294516,,,,,,yes,,,,,,,,,,
way,36988450,40.0599451,-3.4970807,,,,,,yes,,,,,,,,,,5.173581030248897e-08
way,37099110,40.2277090,-3.3990883,,,,,,yes,,,,,,,,,,
way,38312595,36.1847341,-115.2126310,Las Vegas,,5209,89108,Carmen Blvd,house,,,,,,,,,,1.3317730918060988e-08
way,38312607,36.1847133,-115.2124036,Las Vegas,,5205,89108,Carmen Blvd,house,,,,,,,,,,1.4259967429097742e-08
way,39514381,36.1715099,-115.1627238,Las Vegas,,222,89106,South Martin L King Boulevard,commercial,1,,,,,,,,,1.372105998598272e-06
way,52504857,43.6143285,3.8866960,,,300 bis,,Avenue de Saint-Maur,yes,,,,,,,,,,
way,56721757,40.1143610,-3.3917134,Colmenar de Oreja,ES,,28380,Calle de las Alegas,yes,,,,,,,,clinic,,
way,57826793,36.1850904,-115.3110583,,,,,,yes,,,,,,,,,,1.4337911125039682e-07
way,57826794,36.1853741,-115.3112675,,,,,,yes,,,,,,,,,,1.2564987628138624e-07
way,57826795,36.1855754,-115.3107471,,,,,,yes,,,,,,,,,,1.3960834621684626e-07
way,58543134,35.5934470,-105.2126576,,,,,,train_station,,,,,,,,,,5.2376890380401164e-08
way,70534405,-29.8406739,31.0348980,,,,,,yes,12,,,,,,,,,
way,89469712,36.1465454,-115.1578435,,,,,,yes,,,,,,,,,,2.8091108106309548e-08
way,89469732,36.1487167,-115.1569286,,,,,,yes,,,,,,,,,,3.304239726276137e-08
way,89469737,36.1489538,-115.1575911,,,,,,yes,,,,,,,,,,4.366302164271474e-08
way,89469749,36.1469362,-115.1575304,,,,,,yes,,,,,,,,,,7.906237442512065e-09
way,89469751,36.1487659,-115.1576615,,,,,,yes,,,,,,,,,,6.799746188335121e-08
way,89469753,36.1467944,-115.1573442,,,,,,yes,,,,,,,,,,5.201891326578334e-07
way,89469757,36.1464842,-115.1570298,,,,,,yes,,,,,,,,,,2.3809207050362602e-08
way,89469762,36.1477689,-115.1568943,,,,,,yes,8,,,,,,,parking,,2.4734554244787432e-06
way,103079998,40.1031113,-3.3849338,,,,,,church,,,catholic,,,,,place_of_worship,,
way,106086432,36.1750483,-115.1450424,,,,,,yes,,,,,,,,parking,,3.34476226271363e-07
way,106228873,36.1742828,-115.1453032,,,,,,yes,,,,,,,hotel,,,8.59016836329829e-07
way,106369641,36.1629685,-115.1442462,,,,,,chapel,,,nondenominational,,,,,place_of_worship,,1.5372279449366033e-08
way,116650391,36.2902772,-115.2816149,,,,,,yes,,,,,,,,,,3.368177203810774e-08
way,119441847,41.0712335,1.1464762,,,,,,yes,7,,,,,,,,,
way,123603263,40.1307411,-3.6546266,,,,,,industrial,,,,,,,,,,1.9218839497625595e-07
way,123603264,40.1384356,-3.6560093,,,,,,industrial,,,,,,,,,,1.7638028566580033e-06
way,123603265,40.1323362,-3.6526473,,,,,,industrial,,,,,,,,,,1.2365878347964099e-06
way,123603268,40.1345648,-3.6518209,,,,,,industrial,,,,,,,,,,5.654173236280258e-06
way,123603272,40.1388696,-3.6509654,,,,,,industrial,,,,,,,,,,4.0624026098612376e-07
way,123603277,40.1342599,-3.6553417,,,,,,industrial,,,,,,,,,,7.774361563406273e-07
way,123603281,40.1402274,-3.6536677,,,,,,industrial,,,,,,,,,,2.421736596147639e-06
way,123603283,40.1309835,-3.6508193,,,,,,industrial,,,,,,,,,,1.8040728377854975e-07
way,123603287,40.1321104,-3.6561106,,,,,,industrial,,,,,,,,,,2.0348566920347366e-07
way,123603288,40.1310047,-3.6504747,,,,,,industrial,,,,,,,,,,1.7936805818408175e-07
way,123603290,40.1312102,-3.6549627,,,,,,industrial,,,,,,,,,,3.727386825858048e-07
way,123603291,40.1310675,-3.6496442,,,,,,industrial,,,,,,,,,,1.777323035412337e-07
way,123603292,40.1316331,-3.6550209,,,,,,industrial,,,,,,,,,,3.745805372545874e-07
way,123603293,40.1310433,-3.6499903,,,,,,industrial,,,,,,,,,,1.8027097326012154e-07
way,123603295,40.1336180,-3.6551762,,,,,,industrial,,,,,,,,,,3.499384462202215e-07
way,123603296,40.1399930,-3.6561835,,,,,,industrial,,,,,,,,,,3.474761641086843e-06
way,123603297,40.1316286,-3.6501157,,,,,,industrial,,,,,,,,,,2.756040657914127e-07
way,123603298,40.1308799,-3.6559012,,,,,,industrial,,,,,,,,,,8.127927486611952e-07
way,123603299,40.1352411,-3.6560659,,,,,,industrial,,,,,,,,,,5.638537174945668e-07
way,123603301,40.1306170,-3.6552716,,,,,,industrial,,,,,,,,,,2.3370650126253167e-07
way,123603303,40.1290052,-3.6543281,,,,,,industrial,,,,,,,,,,4.813968104144806e-07
way,123603306,40.1382751,-3.6534579,,,,,,industrial,,,,,,,,,,2.2515752533536215e-06
way,123603307,40.1288126,-3.6554607,,,,,,industrial,,,,,,,,,,2.4876240445337316e-07
way,123603308,40.1321961,-3.6550836,,,,,,industrial,,,,,,,,,,3.8798731338829384e-07
