node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,landuse,leisure,tourism,sport,area
4220761,60.2072675,24.8558392,,,,,,,,,,,,
4252923,60.1888222,24.9304722,5,250,Hammarskj?ldintie,stadium,,,,,stadium,,swimming,
4253124,60.1699382,24.9511274,29,170,Unioninkatu,religious,,,,,,,,
4254163,60.2057027,24.9291838,1,,Areenankuja,stadium,5,,,,,,ice_hockey,
4254310,60.2136077,24.9259765,,,,,,,,,,,,
4254311,60.2121128,24.929864,44,,Veturitie,industrial,,,,,,,,
4260855,60.1560853,24.9279201,,,,industrial,1,,,,,,,
4260856,60.1533987,24.9263444,,,,block,,,,,,,,
4260893,60.148474,24.9224766,13,150,Hernesaarenranta,block,,,,,,,,1.02E-06
4260901,60.1488731,24.9213819,6,,Hernematalankatu,block,,,,,ice_rink,,,8.50E-07
4261024,60.152341,24.9250331,,,,,,,,,,,,1.01E-06
4261039,60.1582785,24.9265599,,,,,,,,industrial,,,,
4261040,60.1564696,24.9289611,,,,,,,,,,,,
4261041,60.1557081,24.9301098,,,,,,,,,,,,
4261043,60.155408,24.927293,,,,,,,,,,,,
4261044,60.1550896,24.9274318,,,,block,,,,,,,,
4267265,60.2070091,24.8543897,,,,,,,,,,,,
4267266,60.2070164,24.8547658,,,,,,,,,,,,
4268713,60.2140855,24.868232,8,,Purotie,,,,,,sports_centre,,soccer,
4432166,60.2150881,24.919978,9,,Postintaival,post_depot,2,,,,,,,
4432520,60.2198813,24.9297075,2,240,Lavakatu,office,7,,,,,,,
5237117,60.1798007,25.0470127,,,,apartments,,,,,,,,
5237139,60.1786942,25.0481244,2,,Kirkkosalmentie,apartments,,,,,,,,
5237157,60.1781977,25.0456598,5,,Jussaarenkuja,apartments,,,,,,,,
5369288,60.2203272,24.8681334,19,,Hiomotie,office,18,,,,,,,
5369294,60.2214233,24.8684781,1,380,Str?mbergintie,industrial,,,,,,,,
5369297,60.2216415,24.8627622,2,,Str?mberginkuja,block,,,,,,,,
5372620,60.2269433,24.8886136,,,,block,,,,,,,,
6183586,60.2247816,25.0771767,3,920,Jauhokuja,,,,,,sports_centre,,multi,
6186829,60.1940005,25.0353798,1,,Insin??rinkatu,retail,4,,,,,,,
6188230,60.1941713,25.0286214,2a,,Hiiht?j?ntie,shop,,,,,,,,
6188501,60.2074275,25.0362608,5,800,Siilikuja,hospital,2,,,,,,,
6188688,60.2084946,25.0368516,8M,800,Kettutie,hospital,2,,,,,,,
6188896,60.2116924,25.0821118,01-07,930,It?katu,retail,,,,,,,,
6189301,60.2121258,25.0802876,1,900,Turunlinnantie,public,2,,,,,,,
6189460,60.2196105,25.0798822,9,920,Pikajuoksijankuja,hall,,,,,sports_centre,,,
6267260,60.1892987,25.0180885,33,,Risto Rytin tie,office,4,,,,,,,
6268325,60.2101472,25.0623487,2,880,Varikkotie,retail,2,,,,,,,
6269033,60.2081216,25.0735164,74,930,Marjaniementie,social_facility,,,,,,,,
6936362,60.2209535,25.0798591,2,920,Alakiventie,sports_centre,,,,,sports_centre,,floorball;bowling;padel,
6956686,60.2280753,25.0213512,3,,Mustialankatu,public_building,,,,,,,,
7973628,60.2101377,25.0670786,1,,Ratasmyllyntie,pavilion,1,,,,,,tennis,
7973630,60.2092767,25.0684241,4,900,Varikkotie,pavilion,2,,,,,,,
8014585,60.2127758,25.0643278,,,,transportation,,,,,,,,
8014589,60.2123748,25.0668884,6,,Metrovarikonkuja,transportation,,,,,,,,
8033120,60.1700224,24.9440678,2,100,Kaivokatu,museum,3,,,,,museum,,
8034060,60.174996,24.9137664,2,100,Hiekkarannantie,,1,,,,sports_centre,,tennis,
8034126,60.1758743,24.9335541,13 E,100,Mannerheimintie,public,3,,,,,,,
8034452,60.1997713,24.9479831,49,550,M?kel?nkatu,,,,,,sports_centre,,swimming,
8035238,60.1702559,24.9365798,22-24,,Mannerheimintie,public,3,,,,,,,
8041328,60.236949,25.0826109,1,940,Kontulankaari,retail,2,,,,,,,
8041360,60.2366919,25.0830943,1,940,Kontulankaari,retail,1,,,,,,,
8041361,60.2374076,25.0831513,3,940,Is?nn?npolku,retail,,,,,,,,
8041364,60.2373393,25.0839987,3,,Is?nn?npolku,retail,1,,,,,,,
8041394,60.2362535,25.0836378,1,940,Kontulankaari,retail,1,,,,,,,
8041406,60.2359448,25.0836475,,,,roof,,,,,,,,
8041408,60.2364513,25.0849863,4,940,Keinulaudankuja,retail,2,,,,,,,
8041412,60.2361655,25.0843972,,,,roof,1,,,,,,,
8041424,60.2372752,25.0850698,4,,Ostostie,retail,,,,,,,,
8041425,60.2376795,25.08527,4,,Ostostie,civic,1,,,,,,,
8041428,60.2377129,25.084282,3,,Ostoskuja,hospital,3,,,,,,,
8041699,60.1783145,24.9151993,,260,Mechelininkatu,apartments,7,,,,,,,
8041704,60.1786203,24.9137785,,,,block,8,,,,,,,
8042215,60.1720445,24.9365811,2,100,Mannerheiminaukio,public,4,,,,,museum,,
8042297,60.1678694,24.9290685,2,100,Runeberginkatu,,,,,,,hotel,,
8058355,60.2126808,24.8748622,4,380,Kutomokuja,,,,,,sports_centre,,tennis;badminton,
8058392,60.2103228,24.8786179,28,,Huopalahdentie,,,,,,sports_centre,,10pin;bowling;billiards,
8058412,60.2216459,24.8747279,4,380,Valimopolku,office,,,,,,,,
8059222,60.2275039,25.0128795,11,,Viikinkaari,library,3,,,,,,,
8059428,60.2430823,25.022209,6,700,Talttakuja,hall,,,,,ice_rink,,,
8059449,60.249357,25.0455513,,,,public,3,,,,,,,
8059458,60.2487223,25.0477102,,,,hangar,,,,,,,,
8059476,60.2475363,25.0499694,,,,hangar,,,,,,,,
8059507,60.248401,25.0446809,,,,,,,,,,,,
8059509,60.248225,25.0383798,,,,hangar,,,,,,,,
8059516,60.2493428,25.0375827,,,,hangar,,,,,,,,
8071567,60.1541555,24.9264724,,,,office,5,,,,,,,
8097296,60.2039734,25.0354344,1,800,Ahmatie,school,,,,,,,,
8097301,60.2046953,25.0341202,2,800,Kettutie,,3,,,,,,,
8097628,60.1872013,24.9720434,1,,Kaasutehtaankatu,,,,,,,,,
8097629,60.1867849,24.9716148,1,,Kaasutehtaankatu,,,,,,,,,
8099317,60.2096552,25.0778133,,,,commercial,6,,,,,,,
8597256,60.1587569,24.8693011,1,200,Myllykallionrinne,church,,lutheran,,,,,,5.47E-07
8654676,60.2226938,25.1161005,28,950,Linnavuorentie,retail,,,,,,,,
8654677,60.2231293,25.1148958,47,,It?v?yl?,,,,,,,,,
8654678,60.223877,25.1160785,49,950,It?v?yl?,retail,,,,,,,,
8654683,60.223517,25.1172663,,,,industrial,,,,,,,,
9205072,60.2470504,25.0451225,,,,,1.5,,,,,,,
9205755,60.2067882,24.9668347,1,,Bengalinpolku,apartments,,,,,,,,
9206000,60.2029507,24.9682012,,,,retail,,,,retail,,,,
9500379,60.1931464,25.0304458,14,,Hitsaajankatu,industrial,,,,,,,,
9500467,60.192937,25.0292785,12,,Hitsaajankatu,,,,,,,,,
9500514,60.1927479,25.0283231,10,,Hitsaajankatu,,3,,,,,,,
9500550,60.19261,25.0274155,8,,Hitsaajankatu,,5,,,,,,,
9500593,60.1924565,25.0267471,6,,Hitsaajankatu,,6,,,,,,,
9500667,60.1922628,25.0259256,4,,Hitsaajankatu,,6,,,,,,,
9500800,60.1969488,25.0369255,12,880,Insin??rinkatu,,,,,,,,,
9500817,60.1991522,25.0444642,,,,,,,,,,,,
9500958,60.2060733,25.1457109,9,990,Iiluodontie,apartments,26,,,,,,,
9501046,60.207473,25.145542,45,980,Vuotie,retail,,,,,,,,
9501168,60.2087651,25.1416241,5,,Vuosaarentie,,,,,,sports_centre,,,
9503202,60.1890069,24.9421582,,,,block,,,,,,,,
9647598,60.1990222,24.9360697,12,520,Opastinsilta,commercial,8,,,,,,,
9703597,60.2064479,25.0357344,15,,Siilikuja,school,,,,,,,,
10219363,60.2018215,25.0423734,8,,Mekaanikonkatu,retail,,,,,,,,
10219448,60.2025396,25.0444782,10,880,Mekaanikonkatu,industrial,2,,,,,,,
10219466,60.2030478,25.0433504,10,880,Mekaanikonkatu,,,,,,,,,
10219496,60.2027278,25.0436548,10,880,Mekaanikonkatu,,,,,,,,,
10527525,60.2136254,25.0878802,1,900,Vanhanlinnantie,retail,4,,,,,,,
10528156,60.2235596,25.0200014,49,,Viikintie,veterinary,,,,,,,,
10528392,60.2239488,25.0149798,1,,Hakalantie,retail,,,,,,,,
10528734,60.2337233,25.0323689,23,790,Latokartanonkaari,,2,,,,,,,
10557772,60.2168011,24.8908627,22,320,Isonnevantie,school,4,,,,,,,
10618780,60.2151362,24.9677463,39,610,Koskelantie,hall,2,,,,,,,
10620954,60.2150735,24.971189,10,610,Valtimontie,hall,,,,,,,,
10637166,60.195041,25.0297641,14,810,Hiihtom?entie,apartments,,,,,,,,
10637173,60.1953895,25.0306371,14,810,Hiihtom?entie,apartments,,,,,,,,
10637206,60.1955689,25.0297359,7,800,Hiiht?j?ntie,apartments,,,,,,,,
10637266,60.1949252,25.0309676,,,,train_station,1,,,,,,,
10637295,60.1953445,25.0318495,,,,,,,,,,,,
10637338,60.195994,25.0311319,16,800,Hiihtom?entie,apartments,,,,,,,,
10637389,60.1965375,25.03252,19,800,Hiihtom?entie,apartments,,,,,,,,
10637396,60.1972623,25.0326921,21,800,Hiihtom?entie,apartments,5,,,,,,,
11065361,60.2613273,25.0761774,,,,commercial,,,,,,,,
11070389,60.2348736,25.0712201,13,,Keinutie,school,,,,,,,,
11072954,60.1869714,24.9703697,22,,S?rn?isten rantatie,industrial,2,,,,,,,
11073014,60.1868391,24.9727532,1,,Kaasutehtaankatu,,,,,,,,,
11073021,60.1865616,24.9737174,1,,Kaasutehtaankatu,,,,,,,,,
11073033,60.1862466,24.9736916,1,,Kaasutehtaankatu,,,,,,,,,
11073054,60.1859352,24.973347,1,,Kaasutehtaankatu,,,,,,,,,
11073063,60.1870047,24.973019,1,,Kaasutehtaankatu,industrial,,,,,,,,
11073383,60.187213,24.9731775,1,,Kaasutehtaankatu,industrial,,,,,,,,
11073430,60.1869977,24.9738853,1,,Kaasutehtaankatu,,,,,,,,,
11073447,60.1867039,24.9741384,,,,,,,,,,,,
11073715,60.1850998,24.9687115,,,,industrial,,,,,,,,
11073749,60.1850486,24.9694951,,,,,,,,,,,,
11117323,60.1793922,24.9156474,,,,block,7,,,,,,,
11639676,60.1982344,25.043546,6 A,,Asentajankatu,,,,,,,,,
12118154,60.18876,24.9415448,,,,,,,,,,attraction,,
12118262,60.1889268,24.9389987,,,,,,,,,,attraction,,
12120778,60.195607,24.9694101,,,,block,,,,,,,,
12120790,60.1945551,24.9704928,8,580,Ristikkokatu,block,,,,,,,,
12120956,60.1938868,24.9693372,8,580,Ristikkokatu,block,,,,,,,,
12258387,60.2055171,25.0485788,,,,,,,,,,,,
12258450,60.2049509,25.0471526,,,,retail,,,,,,,,
12258531,60.2045504,25.0463069,,,,,,,,,,,,
12258689,60.203852,25.0480881,15,,Mekaanikonkatu,retail,,,,,,,,
12260386,60.1976731,25.0302043,2,800,M?enlaskijantie,apartments,4.5,,,,,,,
12260471,60.1969615,25.0315696,18,800,Hiihtom?entie,apartments,,,,,,,,
12260538,60.1975314,25.0270351,4,810,M?enlaskijantie,apartments,8,,,,,,,
12260595,60.1973887,25.0274997,4,800,M?enlaskijantie,,,,,,,,,
12260831,60.1996716,25.0284749,6,800,M?yr?tie,apartments,,,,,,,,
12260866,60.1987706,25.0299301,,,,apartments,,,,,,,,
12260962,60.1997153,25.0328938,,,,apartments,,,,,,,,
12261027,60.1995857,25.0336662,,,,apartments,,,,,,,,
12261064,60.1991907,25.0339275,,,,apartments,,,,,,,,
12261124,60.1998864,25.0309145,24,800,Hiihtom?entie,apartments,5,,,,,,,
12607497,60.2275109,25.0083125,3,790,Viikintori,retail,,,,,,,,
12764448,60.1963824,24.9421674,,,,,6,,,,,,,
12867846,60.2352129,24.9778277,15,640,Liukum?entie,hall,,,,,,,,
12966254,60.2439332,24.994606,,,,office,,,,,,,,
12966694,60.2461708,24.9918512,12-14,,Eskolantie,,,,,,,,,
13779794,60.2348493,24.9343698,3A,,Suursuonlaita,clinic,2,,,,,,,
13780142,60.2213775,24.9855322,,,,hall,,,,,,,,
13780197,60.2159827,24.9835785,,,,,2,,,,,,,
13780226,60.2162886,24.9827515,,,,,,,,,,,,
13780254,60.216364,24.9820777,,,,,,,,,,,,
13780270,60.2161195,24.9807637,,,,,,,,,,,,
13780353,60.2163209,24.9847794,9,560,Katariina Saksilaisen katu,retail,1,,,,,,,
13780360,60.2160862,24.9857095,11,560,Katariina Saksilaisen katu,apartments,4,,,,,,,
13780368,60.2156719,24.9861202,11,560,Katariina Saksilaisen katu,apartments,4,,,,,,,
13780917,60.1835221,24.9690895,,,,,,,,,,,,
13858929,60.1895325,24.9092155,4,290,Haartmaninkatu,hospital,8,,,,,,,
13859034,60.1885341,24.9081634,2,290,Heikinniementie,social_facility,4,,,,,,,
13859065,60.1900837,24.9070964,4,290,Haartmaninkatu,,,,,,,,,
14097157,60.2036882,25.0486272,40,,Sahaajankatu,,,,,,,,,
14097242,60.2032077,25.0480009,,,,,,,,,,,,
14097276,60.2033988,25.0474381,13,,Mekaanikonkatu,retail,3,,,,,,,
14097380,60.2012816,25.0443257,5,,Mekaanikonkatu,,,,,,,,,
14097522,60.2018374,25.0449657,,,,,,,,,,,,
14097556,60.2015033,25.0458804,,,,,,,,,,,,
14097607,60.2013486,25.0468227,,,,,,,,,,,,
14097629,60.201738,25.046985,,,,,,,,,,,,
14097711,60.2023627,25.045939,9,,Mekaanikonkatu,,,,,,,,,
14097744,60.2021182,25.0467035,32,880,Sahaajankatu,,,,,,,,,
14097835,60.2027047,25.046777,,,,office,3,,,,,,,
14097883,60.2015126,25.0481168,,,,,,,,,,,,
14097940,60.2020893,25.048172,,,,,,,,,,,,
14097974,60.2024911,25.0483131,,,,,,,,,,,,
14098015,60.2027484,25.0486891,,,,,,,,,,,,
14098041,60.2030048,25.0490474,13-15,880,Sahaajankatu,,2,,,,,,,
14098084,60.2035222,25.049666,19,880,Sahaajankatu,commercial,,,,,,,,
14098109,60.2036978,25.0499213,21,,Sahaajankatu,,,,,,,,,
14098137,60.2038943,25.0501542,,,,,,,,,,,,
14098185,60.2040873,25.0503713,,,,,,,,,,,,
14098205,60.204284,25.0506048,,,,,,,,,,,,
14098236,60.2044679,25.0508512,,,,,,,,,,,,
14098259,60.2046596,25.0510887,,,,,,,,,,,,
14098297,60.2047808,25.0515458,,,,,,,,,,,,
14098376,60.2050693,25.0516135,35,800,Sahaajankatu,,,,,,,,,
14098392,60.2054026,25.0518985,39,800,Sahaajankatu,,,,,,,,,
14098424,60.2055016,25.052374,39,880,Sahaajankatu,,,,,,,,,
14098512,60.2057036,25.0526428,41,800,Sahaajankatu,,,,,,,,,
14098618,60.2058629,25.0529681,43,800,Sahaajankatu,,,,,,,,,
14098635,60.2060173,25.0533618,45,800,Sahaajankatu,,,,,,,,,
14098684,60.2063349,25.0536983,47,800,Sahaajankatu,,,,,,,,,
14098752,60.2067354,25.0538691,,,,,,,,,,,,
14098767,60.2065825,25.0541775,,,,,,,,,,,,
14098813,60.2059971,25.0550678,7,800,Pikkupurontie,,,,,,,,,
14098936,60.2062908,25.0563692,13,800,Pikkupurontie,,,,,,,,,
14098953,60.2060684,25.0555533,9,800,Pikkupurontie,,,,,,,,,
14098967,60.2061834,25.0559179,11,800,Pikkupurontie,,,,,,,,,
