node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,landuse,leisure,tourism,sport,area
27146776,36.1790269,-115.1311788,,,,theatre,,,,,,,,2.33E-07
27523839,36.145051,-115.3052423,9600,89117,West Sahara Avenue,museum,2,,,,,museum,,6.17E-07
27550235,36.1722347,-115.196606,,,,,,,,,,,,4.64E-06
27613592,36.2007641,-115.3337719,,,,retail,,,,,,,,2.26E-07
27613838,36.1885119,-115.3066744,,,,,,,,,,,,2.52E-07
27620982,36.1861445,-115.2848527,1400,89128,North Rampart Boulevard,commercial,,,,,,,,5.67E-07
27631489,36.2015238,-115.2530087,,,,school,,,,,,,,2.30E-06
27960102,36.1544932,-115.237141,,,,,,,,,,,,2.99E-06
33967431,36.1715878,-115.1471353,1,89101,Main Street,,,,,,,hotel,,1.27E-06
34000107,36.1718583,-115.1468695,,,,,,,,,,,,1.45E-07
35822885,40.2390461,-3.5124216,,,,,,,,,,,,
36331817,40.0418699,-3.5537795,,,,,,,,,,,,1.08E-06
36510100,40.1212837,-3.5410725,,,,,,,,,,,,
36902867,40.1217038,-3.5296576,,,,,,,,,,,,
36902869,40.1212541,-3.5294516,,,,,,,,,,,,
36988450,40.0599451,-3.4970807,,,,,,,,,,,,5.17E-08
37099110,40.227709,-3.3990883,,,,,,,,,,,,
38312595,36.1847341,-115.212631,5209,89108,Carmen Blvd,house,,,,,,,,1.33E-08
38312607,36.1847133,-115.2124036,5205,89108,Carmen Blvd,house,,,,,,,,1.43E-08
39514381,36.1715099,-115.1627238,222,89106,South Martin L King Boulevard,commercial,1,,,,,,,1.37E-06
52504857,43.6143285,3.886696,300 bis,,Avenue de Saint-Maur,,,,,,,,,
56721757,40.114361,-3.3917134,,28380,Calle de las Alegas,clinic,,,,,,,,
57826793,36.1850904,-115.3110583,,,,,,,,,,,,1.43E-07
57826794,36.1853741,-115.3112675,,,,,,,,,,,,1.26E-07
57826795,36.1855754,-115.3107471,,,,,,,,,,,,1.40E-07
58543134,35.593447,-105.2126576,,,,train_station,,,,,,,,5.24E-08
70534405,-29.8406739,31.034898,,,,,12,,,,,,,
89469712,36.1465454,-115.1578435,,,,,,,,,,,,2.81E-08
89469732,36.1487167,-115.1569286,,,,,,,,,,,,3.30E-08
89469737,36.1489538,-115.1575911,,,,,,,,,,,,4.37E-08
89469749,36.1469362,-115.1575304,,,,,,,,,,,,7.91E-09
89469751,36.1487659,-115.1576615,,,,,,,,,,,,6.80E-08
89469753,36.1467944,-115.1573442,,,,,,,,,,,,5.20E-07
89469757,36.1464842,-115.1570298,,,,,,,,,,,,2.38E-08
89469762,36.1477689,-115.1568943,,,,parking,8,,,,,,,2.47E-06
103079998,40.1031113,-3.3849338,,,,church,,catholic,,,,,,
106086432,36.1750483,-115.1450424,,,,parking,,,,,,,,3.34E-07
106228873,36.1742828,-115.1453032,,,,,,,,,,hotel,,8.59E-07
106369641,36.1629685,-115.1442462,,,,chapel,,nondenominational,,,,,,1.54E-08
116650391,36.2902772,-115.2816149,,,,,,,,,,,,3.37E-08
119441847,41.0712335,1.1464762,,,,,7,,,,,,,
123603263,40.1307411,-3.6546266,,,,industrial,,,,,,,,1.92E-07
123603264,40.1384356,-3.6560093,,,,industrial,,,,,,,,1.76E-06
123603265,40.1323362,-3.6526473,,,,industrial,,,,,,,,1.24E-06
123603268,40.1345648,-3.6518209,,,,industrial,,,,,,,,5.65E-06
123603272,40.1388696,-3.6509654,,,,industrial,,,,,,,,4.06E-07
123603277,40.1342599,-3.6553417,,,,industrial,,,,,,,,7.77E-07
123603281,40.1402274,-3.6536677,,,,industrial,,,,,,,,2.42E-06
123603283,40.1309835,-3.6508193,,,,industrial,,,,,,,,1.80E-07
123603287,40.1321104,-3.6561106,,,,industrial,,,,,,,,2.03E-07
123603288,40.1310047,-3.6504747,,,,industrial,,,,,,,,1.79E-07
123603290,40.1312102,-3.6549627,,,,industrial,,,,,,,,3.73E-07
123603291,40.1310675,-3.6496442,,,,industrial,,,,,,,,1.78E-07
123603292,40.1316331,-3.6550209,,,,industrial,,,,,,,,3.75E-07
123603293,40.1310433,-3.6499903,,,,industrial,,,,,,,,1.80E-07
123603295,40.133618,-3.6551762,,,,industrial,,,,,,,,3.50E-07
123603296,40.139993,-3.6561835,,,,industrial,,,,,,,,3.47E-06
123603297,40.1316286,-3.6501157,,,,industrial,,,,,,,,2.76E-07
123603298,40.1308799,-3.6559012,,,,industrial,,,,,,,,8.13E-07
123603299,40.1352411,-3.6560659,,,,industrial,,,,,,,,5.64E-07
123603301,40.130617,-3.6552716,,,,industrial,,,,,,,,2.34E-07
123603303,40.1290052,-3.6543281,,,,industrial,,,,,,,,4.81E-07
123603306,40.1382751,-3.6534579,,,,industrial,,,,,,,,2.25E-06
123603307,40.1288126,-3.6554607,,,,industrial,,,,,,,,2.49E-07
123603308,40.1321961,-3.6550836,,,,industrial,,,,,,,,3.88E-07
123759960,40.1364557,-3.6526228,,,,,,,,,,,,9.11E-08
123759965,40.1283091,-3.658043,,,,industrial,,,,,,,,8.09E-08
123759967,40.1429,-3.6567108,,,,industrial,,,,,,,,4.05E-07
123759969,40.1449604,-3.6573967,,,,industrial,,,,,,,,5.03E-07
123759970,40.1444902,-3.6576633,,,,industrial,,,,,,,,2.24E-07
