node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,landuse,leisure,tourism,sport,area
25775425,32.7324757,-117.1492232,,,,,,,,,garden,,,
25965018,32.7137403,-117.1752259,910,92101,North Harbor Drive,,16,,ship,,,museum,,
26748195,32.7219494,-117.1718676,,,,,13,,building,,,,,
26748231,32.7120385,-117.1704957,,,,,2,,,,,hotel,,
27120606,32.7161578,-117.1660663,,,,courthouse,14,,,,,,,
27144336,32.7109272,-117.1632371,,,,,,,,,,,,
27144363,32.7108982,-117.163529,,,,,,,,,,,,
27144455,32.7150435,-117.1642677,101,,West Broadway,commercial,20,,,,,,,
27144609,32.7144258,-117.1738779,11,92101,Navy Pier,industrial,,,,,,,,
27144626,32.7176574,-117.1749509,1140,92101,North Harbor Drive,,1,,,,,,,
27154273,32.7169969,-117.1695571,1050,92101,Kettner Boulevard,train_station,1,,,,,,,
27154287,32.7175912,-117.169501,,,,,,,,,,,,
28534466,32.7223374,-117.168897,,,,,,,,,,,,
28534541,32.7222682,-117.1685684,,,,,,,,,,,,
28534552,32.7228309,-117.1689478,,,,,,,,,,,,
28534596,32.7171334,-117.176046,,,,,,,,,,,,
28534600,32.7171154,-117.1754924,,,,,,,,,,,,
28534602,32.7183168,-117.1721084,,,,parking,,,,,,,,
28534639,32.7266217,-117.1728703,,,,,,,,,,,,
28534646,32.7283872,-117.1736943,,,,,,,,,,,,
28788228,32.7516536,-117.1495127,1451,92103,Washington Street,restaurant,1,,,,,,,
28824904,32.7310491,-117.1486048,,,,,,,,,,,,
28824905,32.7308234,-117.1470715,,,,,,,,,,museum,,
28824920,32.7272679,-117.1523921,2131,92101,Pan American Plaza,,,,,,,museum,,
28824925,32.7268976,-117.1530285,,,,,,,,,fitness_centre,,,
28892235,40.3946617,-3.6631902,,,,school,,,,,,,,
30407364,32.721257,-117.167835,,,,,,,,,,,,
30407390,32.7217084,-117.1676504,1570,92101,Columbia Street,,,,,,,museum,,
30407413,32.7217769,-117.1667707,,,,,,,,,,,,
30407422,32.7216325,-117.1671697,,,,,,,,,,,,
30407428,32.7217914,-117.1671525,,,,,,,,,,,,
30407584,32.7212927,-117.1705308,1531,92101,Pacific Highway,,,,,,,hotel,,
30407624,32.7226668,-117.1705989,,,,,,,,,,hotel,,
30407717,32.7233963,-117.1706725,,,,,,,,,,hotel,,
