node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,leisure,tourism,sport,area,ratio
0,39.473505,-0.3789178,5,46001,Pla?a ciutat de Bruges,marketplace,2,,yes,,attraction,,,
1,39.4792822,-0.3759944,,,,,3,,city_gate,,,,,
2,39.468957,-0.3683601,19,46004,Carrer de Jorge Juan,marketplace,,,building,,,,2.86E-07,1.560548885
3,39.466128,-0.3774336,24,46007,Carrer de X?tiva,train_station,2,,,,,,1.53E-06,0.684983809
4,39.472245,-0.3624206,,,,public,,,,,,,,
5,39.476315,-0.3578723,48,,Avinguda de Blasco Ib??ez,public,7,,,,,,,
6,39.4760482,-0.3569284,50,46010,Avenida Blasco Ib??ez,public,,,,,,,,
7,39.4628083,-0.3279557,,46024,Moll de la Duana,,,,,,,,,
8,39.4627267,-0.32769,,,,,,,,,,,,
9,39.4627808,-0.3267838,,46024,Moll de la Duana,,,,building,,,,,
10,39.4601349,-0.3318387,,46024,Muelle del Grao,,,,,,,,,
11,39.4610174,-0.330892,,,,roof,,,,,,,,
12,39.4795856,-0.3642889,,,,,5,,,,,,,
13,39.4768847,-0.361774,13,46010,Carrer de les Arts Gr?fiques,library,,,,,,,,
14,39.470096,-0.3346606,,,,train_station,1,,,,,,,
15,39.4474759,-0.3684643,,,,school,2,,,,,,2.16E-07,1.096524027
16,39.4477428,-0.3687113,,,,,1,,,,,,5.77E-08,1.578256479
17,39.4479489,-0.3683195,,,,,1,,,,,,1.55E-08,0.585750853
18,39.4517946,-0.3658761,,,,,4,,,stadium,,basketball,,
19,39.4620189,-0.3714053,30,46006,Pla?a del Bar? de Cortes,retail,4,,,,,,4.87E-07,1.350012145
20,39.4759084,-0.3839166,,,,tower,4,,city_gate,,,,,
21,39.4946777,-0.4058049,,46015,Calle dels Xiprers,library,,,,,,,,
22,39.4596781,-0.3898346,,,,public,2,,,,,,8.31E-08,0.685013624
23,39.4696406,-0.381228,10,46001,Carrer de Quevedo,,,,,,museum,,,
