0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
@type,@id,@lat,@lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,building,building:levels,buliding:use,denomination,historic,landuse,leisure,tourism,amenity,sport,area
way,44034937,28.5491223,-81.3779788,Orlando,,46,,Amelia Street,parking,,,,,,,,parking,,
way,44034947,28.5485685,-81.3786134,Orlando,,435,,North Orange Avenue,yes,,,,,,,,,,
way,44034950,28.5482023,-81.3777300,Orlando,,425,,North Orange Avenue,yes,,,,,,,,courthouse,,
way,44034956,28.5478216,-81.3786013,Orlando,,415,,North Orange Avenue,yes,,,,,,,,,,
way,44103950,28.5528194,-81.3610101,,,,,,yes,,,,,,,,,,
way,44959635,28.4687179,-81.4476281,Orlando,,5250,32819,International Drive,retail,,,,,,,,,,6.716738198520034e-06
way,44959968,28.4855696,-81.4316251,Orlando,,4200,32839,Conroy Road,retail,2,,,,,,,,,5.024557822252973e-06
way,45707000,28.5160155,-81.4763272,Orlando,US,2173,32835,Lake Debra Drive,apartments,3,,,,,,,,,8.679489837959409e-08
way,45711604,28.5160503,-81.4769982,Orlando,US,2207,32835,Lake Debra Drive,yes,1,,,,,,,,,5.6613998822285794e-08
way,45754266,28.5155633,-81.4764553,Orlando,US,2179,32835,Lake Debra Drive,apartments,3,,,,,,,,,9.180553206533659e-08
way,45754267,28.5150156,-81.4766255,Orlando,US,2185,32835,Lake Debra Drive,apartments,3,,,,,,,,,1.0034773367806338e-07
way,45754268,28.5147775,-81.4771146,Orlando,US,2191,32835,Lake Debra Drive,apartments,2,,,,,,,,,8.84674591361545e-08
way,45758046,28.5169172,-81.4776428,Orlando,US,2109,32835,Lake Debra Drive,apartments,3,,,,,,,,,1.0246776582789607e-07
way,45758049,28.5163816,-81.4768931,Orlando,US,2215,32835,Lake Debra Drive,apartments,3,,,,,,,,,8.208576218748931e-08
way,45758050,28.5169839,-81.4766079,Orlando,US,2161,32835,Lake Debra Drive,apartments,3,,,,,,,,,7.507719601562712e-08
way,45758051,28.5174134,-81.4767982,Orlando,US,2137,32835,Lake Debra Drive,apartments,3,,,,,,,,,1.0363646651967429e-07
way,45758053,28.5169237,-81.4771484,Orlando,US,2113,32835,Lake Debra Drive,apartments,3,,,,,,,,,1.051528215612052e-07
way,45758059,28.5174295,-81.4759810,Orlando,US,2149,32835,Lake Debra Drive,apartments,3,,,,,,,,,8.29109012556728e-08
way,45758062,28.5178704,-81.4762975,Orlando,US,2143,32835,Lake Debra Drive,apartments,3,,,,,,,,,1.0004418982134666e-07
way,45758063,28.5180520,-81.4769185,Orlando,US,2131,32835,Lake Debra Drive,apartments,2,,,,,,,,,9.947984835889656e-08
way,45758067,28.5179844,-81.4775280,Orlando,US,2125,32835,Lake Debra Drive,apartments,2,,,,,,,,,9.540531209495384e-08
way,45758069,28.5174458,-81.4776692,Orlando,US,2119,32835,Lake Debra Drive,apartments,2,,,,,,,,,6.92475623509381e-08
way,45758072,28.5150413,-81.4775667,Orlando,US,2197,32835,Lake Debra Drive,apartments,2,,,,,,,,,1.0515668691368774e-07
way,45758075,28.5156093,-81.4775785,Orlando,US,2203,32835,Lake Debra Drive,apartments,3,,,,,,,,,1.0146732165594585e-07
way,45758079,28.5164188,-81.4775799,Orlando,US,2101,32835,Lake Debra Drive,apartments,2,,,,,,,,,8.001052265171893e-08
way,45758081,28.5165045,-81.4762480,Orlando,US,2167,32835,Lake Debra Drive,apartments,3,,,,,,,,,8.756342140259221e-08
way,45758085,28.5169652,-81.4761205,Orlando,US,2155,32835,Lake Debra Drive,apartments,3,,,,,,,,,8.276947482954711e-08
way,45787950,28.4719783,-81.4676450,,,,,,yes,,,,,,,,,,1.3041699276072904e-08
way,45792529,28.4710164,-81.4712906,,,,,,yes,,,,,,playground,,,,1.3817270883009769e-08
way,45792816,28.4736784,-81.4676515,,,,,,yes,,,,,,,,restaurant,,4.450337200978538e-07
way,45792821,28.4730604,-81.4678357,,,,,,yes,,,,,,,,restaurant,,1.2688747119682375e-07
way,45802470,28.4724236,-81.4678131,,,,,,roof,,,,,,,,,,1.8858827388612553e-08
way,45802473,28.4721775,-81.4678183,,,,,,roof,,,,,,,,,,1.0255462257191539e-08
way,45834909,28.4710057,-81.4698905,,,,,,yes,,,,,,,,,,4.890898708254099e-08
