0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
@type,@id,@lat,@lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,building,building:levels,buliding:use,denomination,historic,landuse,leisure,tourism,amenity,sport,area
way,5007139,39.4735050,-0.3789178,Valencia,,5,46001,Plaça ciutat de Bruges,yes,2,,,yes,,,attraction,marketplace,,
way,9281502,39.4792822,-0.3759944,,,,,,yes,3,,,city_gate,,,,,,
way,10120283,39.4689570,-0.3683601,València,,19,46004,Carrer de Jorge Juan,yes,,,,building,,,,marketplace,,2.8622875003492254e-07
way,10153012,39.4661280,-0.3774336,Valencia,ES,24,46007,Carrer de Xàtiva,train_station,2,,,,,,,,,1.5331408098617771e-06
way,10249512,39.4722450,-0.3624206,,,,,,public,,,,,,,,,,
way,10249532,39.4763150,-0.3578723,,,48,,Avinguda de Blasco Ibáñez,public,7,,,,,,,,,
way,10249533,39.4760482,-0.3569284,,,50,46010,Avenida Blasco Ibáñez,public,,,,,,,,,,
way,10380364,39.4628083,-0.3279557,Valencia,,,46024,Moll de la Duana,yes,,,,,,,,,,
way,10380366,39.4627267,-0.3276900,,,,,,yes,,,,,,,,,,
way,10380367,39.4627808,-0.3267838,Valencia,,,46024,Moll de la Duana,yes,,,,building,,,,,,
way,10380369,39.4601349,-0.3318387,Valencia,,,46024,Muelle del Grao,yes,,,,,,,,,,
way,10380370,39.4610174,-0.3308920,,,,,,roof,,,,,,,,,,
way,10531151,39.4795856,-0.3642889,,,,,,yes,5,,,,,,,,,
way,11181009,39.4768847,-0.3617740,València,,13,46010,Carrer de les Arts Gràfiques,yes,,,,,,,,library,,
way,11853821,39.4700960,-0.3346606,,,,,,train_station,1,,,,,,,,,
way,11975176,39.4474759,-0.3684643,,,,,,school,2,,,,,,,,,2.163029009238926e-07
way,11975177,39.4477428,-0.3687113,,,,,,yes,1,,,,,,,,,5.7678385623205486e-08
way,11975178,39.4479489,-0.3683195,,,,,,yes,1,,,,,,,,,1.550367922931173e-08
way,12211933,39.4517946,-0.3658761,,,,,,yes,4,,,,,stadium,,,basketball,
way,12403536,39.4620189,-0.3714053,,,30,46006,Plaça del Baró de Cortes,retail,4,,,,,,,marketplace,,4.87402671112136e-07
way,13073736,39.4759084,-0.3839166,,,,,,tower,4,,,city_gate,,,,,,
way,13077887,39.4946777,-0.4058049,Valencia,,,46015,Calle dels Xiprers,yes,,,,,,,,library,,
way,13789137,39.4596781,-0.3898346,,,,,,public,2,,,,,,,clinic,,8.309716115206811e-08
way,15218690,39.4696406,-0.3812280,Valencia,,10,46001,Carrer de Quevedo,yes,,,,,,,museum,,,
way,15218691,39.4705450,-0.3830627,,,15,46001,Carrer de l'Hospital,yes,,,roman_catholic,,,,,place_of_worship,,
way,15218692,39.4703811,-0.3817491,,,,,,yes,,,,,,,,library,,
way,15218693,39.4703735,-0.3810115,,,,,,yes,,,,,,,,,,
way,15218694,39.4716426,-0.3828420,,,,,,yes,,,,,,,,,,
way,15218699,39.4714706,-0.3833946,,,,,,church,,,catholic,,,,,place_of_worship,,
way,15218811,39.4712919,-0.3833941,,,,,,construction,,,,,,,,,,
way,15224042,39.4719465,-0.3819139,,,,,,yes,,,,,,,,,,
way,15242496,39.4730996,-0.3815101,,,,,,yes,,,,,,,,,,
way,15242498,39.4730167,-0.3820950,,,,,,yes,,,,,,,,,,
way,15242502,39.4733338,-0.3815981,,,,,,yes,,,,,,,,,,
way,15242504,39.4733167,-0.3819970,,,,,,yes,,,,,,,,,,
way,15242506,39.4736865,-0.3823109,,,,,,yes,,,,,,,,,,
way,15242508,39.4737389,-0.3827586,,,,,,yes,,,,,,,,,,
way,15242509,39.4738230,-0.3833730,,,,,,yes,,,,,,,,,,
way,15896027,39.4783485,-0.3530385,,,,,,mosque,,,,,,,,place_of_worship,,
way,16077050,39.4743935,-0.3835711,,,,,,yes,,,,,,,,,,
way,16077051,39.4743088,-0.3832435,,,,,,yes,,,,,,,,,,
way,16077055,39.4734778,-0.3826306,,,,,,yes,,,,,,,,,,
way,16077058,39.4742496,-0.3827166,,,,,,yes,,,,,,,,,,
way,16077059,39.4740160,-0.3827144,,,,,,yes,,,,,,,,,,
way,16077060,39.4744023,-0.3824568,,,,,,yes,,,,,,,,,,
way,16077061,39.4751343,-0.3828997,,,,,,yes,,,,,,,,,,
way,16077062,39.4747371,-0.3827654,,,,,,university,,,,,,,,,,
way,16190253,39.4746083,-0.3815599,,,,,,yes,,,,,,,,,,
way,16190254,39.4746436,-0.3820596,,,,,,yes,,,,,,,,,,
way,16190257,39.4742564,-0.3814821,,,,,,yes,,,,,,,,,,
way,16190264,39.4739447,-0.3814048,,,,,,yes,,,,,,,,,,
way,16190266,39.4740099,-0.3819643,,,,,,yes,,,,,,,,,,
way,16190291,39.4749187,-0.3818887,,,,,,yes,,,,,,,,,,
way,16190295,39.4751912,-0.3823465,,,,,,yes,,,,,,,,,,
way,16190297,39.4749883,-0.3834941,,,,,,yes,,,,,,,,,,
way,16190298,39.4752761,-0.3832929,,,,,,yes,,,,,,,,,,
way,16190299,39.4753599,-0.3836646,,,,,,yes,,,,,,,,,,
way,16281117,39.4725250,-0.3807536,,,,,,yes,,,,,,,,,,
way,17436801,39.4880509,-0.3702867,,,,,,school,,,,,,,,,,
way,17436803,39.4878810,-0.3697844,,,,,,kindergarten,,,,,,,,,,
way,20412697,39.4816368,-0.3895614,,,,,,yes,,,,,,,,,,
way,20412698,39.4822097,-0.3882288,,,,,,yes,,,,,,,,,,
way,20412700,39.4819584,-0.3889235,,,,,,yes,,,,,,,,,,
way,20418648,39.4807750,-0.3905175,,,,,,parking,,,,,,,,parking,,
way,20418650,39.4797549,-0.3896901,,,,,,yes,,,,,,,,,,
way,20418651,39.4805828,-0.3894083,,,,,,yes,,,,,,,,,,
way,20418653,39.4806677,-0.3915901,,,,,,yes,,,,,,,,,,
way,20418654,39.4807630,-0.3904559,,,,,,yes,,,,,,,,,,
way,20418656,39.4805013,-0.3901309,,,,,,yes,,,,,,,,,,
way,20418657,39.4800110,-0.3911984,,,,,,hotel,,,,,,,hotel,,,
way,20418658,39.4800141,-0.3907202,,,,,,yes,,,,,,,,,,
way,20418663,39.4817999,-0.3904352,,,,,,yes,,,,,,,,,,
way,20418665,39.4820281,-0.3905763,,,,,,yes,,,,,,,,hospital,,
way,20418667,39.4817711,-0.3911688,,,39,,Carrer de Joaquim Ballester,public,9,,,,,,,,,
way,21252091,39.4707312,-0.3823775,,,21,46001,Carrer de l'Hospital,yes,,,,,,,,place_of_worship,,
way,22893985,39.4774870,-0.3956336,Valencia,,16,46015,Avenida Tirso de Molina,yes,,,,,,,,marketplace,,4.92226930326467e-07
way,23167750,39.4661356,-0.3604520,,,,,,yes,,,,,,,,,,
way,23167751,39.4661611,-0.3603941,,,,,,yes,,,,,,,,,,
way,23167752,39.4659660,-0.3603194,,,,,,yes,,,,,,,,,,
way,23167753,39.4663452,-0.3605136,,,,,,yes,,,,,,,,,,
way,23167754,39.4663829,-0.3607668,,,,,,yes,,,,,,,,,,
way,23167755,39.4658237,-0.3604831,,,,,,yes,,,,,,,,,,
way,23309509,39.4736030,-0.3701581,,,,,,yes,,,,,,,,,,
way,23309512,39.4717999,-0.3697103,,,,,,yes,,,,,,,,courthouse,,
way,23360931,39.4752628,-0.3744555,,,,,,yes,,,,,,,,,,
way,23377184,39.4433080,-0.4107519,,,,,,yes,,,,,,,,,,1.5510142858943254e-07
way,23377185,39.4419968,-0.4112887,,,,,,yes,,,,,,,,,,1.0814481203880177e-06
way,23377876,39.4744154,-0.3784200,Valencia,,2,46001,Carrer de la Llotja,yes,,,,heritage,,,attraction,,,
way,23377877,39.4778151,-0.3743469,,,4,46003,Plaça de Sant Llorenç,yes,,,,castle,,,,,,
way,23377878,39.4708144,-0.3744702,,,15,,Carrer de les Barques,yes,,,,,,,,theatre,,
way,23389251,39.4827329,-0.3467191,València,,1G,46022,,university,,,,,,,,,,
way,23389252,39.4824264,-0.3469791,,,,,,university,,,,,,,,,,
way,23389253,39.4810928,-0.3471307,València,,,46022,Carrer d'Adolfo Suárez González,university,4,,,,,,,,,
way,23389254,39.4837732,-0.3463934,València,,29,46022,Camí de Vera,university,,,,,,,,college,,
way,23389258,39.4838603,-0.3424334,,,,,,yes,,,,,,,,,,
way,23389260,39.4827780,-0.3449551,València,,,46022,,university,,,,,,,,,,
way,23389265,39.4830388,-0.3421457,València,,,46022,,university,2,,,,,,,,,
way,23389266,39.4829495,-0.3416792,València,,,46022,,university,,,,,,,,,,
way,23389267,39.4827392,-0.3411005,València,,,46022,Camí de Vera,university,,,,,,,,,,
way,23389268,39.4826108,-0.3418268,València,,5K,46022,Camí de Vera,university,,,,,,,,,,
way,23389269,39.4819564,-0.3421465,València,,5G,46022,Camí de Vera,university,,,,,,,,,,
way,23389270,39.4823223,-0.3421172,València,,5I,46022,Camí de Vera,university,2,,,,,,,,,
way,23389271,39.4828555,-0.3438659,València,,,46022,,university,,,,,,,,,,
way,23389273,39.4814238,-0.3416387,València,,,46022,,university,4,,,,,,,,,
way,23389274,39.4814469,-0.3448577,València,,,46022,,university,,,,,,,,,,
way,23389275,39.4810261,-0.3452810,València,,,46022,,university,,,,,,,,,,
way,23389279,39.4811011,-0.3428329,,,,,,yes,,,,,,,,library,,
way,23389281,39.4799718,-0.3432059,València,,,46022,Avinguda dels Tarongers,university,,,,,,,,,,
way,23389283,39.4805045,-0.3423472,,,,,,yes,,,,,,,,,,
way,23389284,39.4807018,-0.3417357,,,,,,yes,,,,,,,,,,
way,23389285,39.4801164,-0.3422816,,,,,,yes,,,,,,,,,,
way,23389286,39.4796144,-0.3425708,València,,,46022,Avinguda dels Tarongers,yes,,,,,,,,,,
way,23389289,39.4792741,-0.3412535,València,,,46022,Camí de Vera,yes,,,,,,sports_centre,,,,
way,23389292,39.4800177,-0.3411450,,,,,,yes,,,,,,swimming_pool,,,swimming,
way,23389296,39.4791649,-0.3404040,València,,,46022,Avinguda dels Tarongers,residential,,,,,,,,,,
way,23389300,39.4788407,-0.3395664,València,,,46022,Camí de Vera,university,,,,,,,,,,
way,23389307,39.4785421,-0.3386086,València,,,46022,,university,,,,,,,,,,
way,23389309,39.4792020,-0.3388041,València,,,46022,,university,4,,,,,,,,,
way,23389310,39.4782647,-0.3371233,València,,,46022,,yes,,,,,,,,,,
way,23389311,39.4785793,-0.3367058,València,,,46022,,yes,,,,,,,,,,
way,23389312,39.4793806,-0.3370393,València,,,46022,,yes,,,,,,,,,,
way,23389313,39.4792243,-0.3365309,València,,,46022,,yes,,,,,,,,,,
way,23389315,39.4790798,-0.3336149,Valencia,,,46022,Carrer de l'Enginyer Fausto Elío,yes,3,,,,,,,,,
way,23389316,39.4794170,-0.3348976,,,,,,yes,,,,,,,,,,
way,23389317,39.4797901,-0.3360805,,,,,,yes,,,,,,sports_centre,,,,
way,23389318,39.4803330,-0.3368444,,,,,,yes,,,,,,,,restaurant,,
way,23389319,39.4809420,-0.3364966,,,,,,yes,,,,,,,,,,
way,23389322,39.4819471,-0.3382206,València,,,46022,,university,,,,,,,,,,
